Time,Batch,Percentage,Social Media
0,2012,22,Facebook
1,2012,3,Facebook
2,2012,85,Facebook
3,2012,18,Facebook
4,2012,13,Facebook
5,2012,59,Facebook
6,2012,81,Facebook
7,2012,37,Facebook
8,2012,4,Facebook
9,2012,90,Facebook
10,2012,11,Facebook
11,2012,52,Facebook
12,2012,73,Facebook
13,2012,94,Facebook
14,2012,48,Facebook
15,2012,73,Facebook
16,2012,30,Facebook
17,2012,84,Facebook
18,2012,55,Facebook
19,2012,98,Facebook
20,2012,90,Facebook
21,2012,13,Facebook
22,2012,31,Facebook
23,2012,52,Facebook
0,2013,54,Facebook
1,2013,50,Facebook
2,2013,33,Facebook
3,2013,33,Facebook
4,2013,16,Facebook
5,2013,33,Facebook
6,2013,59,Facebook
7,2013,8,Facebook
8,2013,40,Facebook
9,2013,32,Facebook
10,2013,96,Facebook
11,2013,69,Facebook
12,2013,34,Facebook
13,2013,81,Facebook
14,2013,86,Facebook
15,2013,35,Facebook
16,2013,58,Facebook
17,2013,79,Facebook
18,2013,41,Facebook
19,2013,64,Facebook
20,2013,7,Facebook
21,2013,42,Facebook
22,2013,73,Facebook
23,2013,75,Facebook
0,2014,47,Facebook
1,2014,95,Facebook
2,2014,29,Facebook
3,2014,26,Facebook
4,2014,52,Facebook
5,2014,88,Facebook
6,2014,5,Facebook
7,2014,97,Facebook
8,2014,71,Facebook
9,2014,58,Facebook
10,2014,87,Facebook
11,2014,72,Facebook
12,2014,30,Facebook
13,2014,12,Facebook
14,2014,58,Facebook
15,2014,6,Facebook
16,2014,93,Facebook
17,2014,25,Facebook
18,2014,86,Facebook
19,2014,1,Facebook
20,2014,27,Facebook
21,2014,79,Facebook
22,2014,97,Facebook
23,2014,4,Facebook
