Time,Batch,Percentage,Social Media
0,2012,20,Instagram
1,2012,60,Instagram
2,2012,45,Instagram
3,2012,72,Instagram
4,2012,83,Instagram
5,2012,88,Instagram
6,2012,72,Instagram
7,2012,48,Instagram
8,2012,63,Instagram
9,2012,36,Instagram
10,2012,21,Instagram
11,2012,97,Instagram
12,2012,83,Instagram
13,2012,57,Instagram
14,2012,94,Instagram
15,2012,74,Instagram
16,2012,16,Instagram
17,2012,1,Instagram
18,2012,45,Instagram
19,2012,99,Instagram
20,2012,92,Instagram
21,2012,56,Instagram
22,2012,3,Instagram
23,2012,81,Instagram
0,2013,64,Instagram
1,2013,4,Instagram
2,2013,24,Instagram
3,2013,57,Instagram
4,2013,21,Instagram
5,2013,57,Instagram
6,2013,19,Instagram
7,2013,8,Instagram
8,2013,4,Instagram
9,2013,69,Instagram
10,2013,44,Instagram
11,2013,54,Instagram
12,2013,35,Instagram
13,2013,59,Instagram
14,2013,36,Instagram
15,2013,65,Instagram
16,2013,92,Instagram
17,2013,62,Instagram
18,2013,89,Instagram
19,2013,14,Instagram
20,2013,78,Instagram
21,2013,98,Instagram
22,2013,73,Instagram
23,2013,96,Instagram
0,2014,1,Instagram
1,2014,54,Instagram
2,2014,15,Instagram
3,2014,97,Instagram
4,2014,42,Instagram
5,2014,51,Instagram
6,2014,14,Instagram
7,2014,2,Instagram
8,2014,33,Instagram
9,2014,54,Instagram
10,2014,57,Instagram
11,2014,14,Instagram
12,2014,99,Instagram
13,2014,16,Instagram
14,2014,37,Instagram
15,2014,78,Instagram
16,2014,99,Instagram
17,2014,21,Instagram
18,2014,20,Instagram
19,2014,3,Instagram
20,2014,28,Instagram
21,2014,67,Instagram
22,2014,96,Instagram
23,2014,39,Instagram
