Time,Batch,Percentage,Social Media
0,2012,9,Line
1,2012,14,Line
2,2012,9,Line
3,2012,35,Line
4,2012,12,Line
5,2012,31,Line
6,2012,88,Line
7,2012,24,Line
8,2012,27,Line
9,2012,39,Line
10,2012,72,Line
11,2012,3,Line
12,2012,46,Line
13,2012,29,Line
14,2012,46,Line
15,2012,90,Line
16,2012,26,Line
17,2012,52,Line
18,2012,79,Line
19,2012,47,Line
20,2012,71,Line
21,2012,83,Line
22,2012,83,Line
23,2012,19,Line
0,2013,90,Line
1,2013,14,Line
2,2013,67,Line
3,2013,32,Line
4,2013,69,Line
5,2013,47,Line
6,2013,62,Line
7,2013,59,Line
8,2013,60,Line
9,2013,45,Line
10,2013,20,Line
11,2013,78,Line
12,2013,34,Line
13,2013,22,Line
14,2013,91,Line
15,2013,94,Line
16,2013,14,Line
17,2013,19,Line
18,2013,17,Line
19,2013,74,Line
20,2013,65,Line
21,2013,59,Line
22,2013,83,Line
23,2013,40,Line
0,2014,82,Line
1,2014,67,Line
2,2014,15,Line
3,2014,59,Line
4,2014,30,Line
5,2014,78,Line
6,2014,61,Line
7,2014,38,Line
8,2014,49,Line
9,2014,91,Line
10,2014,31,Line
11,2014,67,Line
12,2014,99,Line
13,2014,50,Line
14,2014,30,Line
15,2014,96,Line
16,2014,7,Line
17,2014,28,Line
18,2014,80,Line
19,2014,79,Line
20,2014,62,Line
21,2014,92,Line
22,2014,69,Line
23,2014,31,Line
